ID,FIELD-0000,FIELD-0001,FIELD-0002,FIELD-0003,FIELD-0004,FIELD-0005,FIELD-0006,FIELD-0007,FIELD-0008,FIELD-0009,FIELD-0010,FIELD-0011,FIELD-0012,FIELD-0013
LK-2218180,571,3,8,1,408,134,9,1,0,0,0,0,0,7
LK-2218185,456,2,0,0,434,20,0,0,0,0,0,0,0,0
LK-2218190,957,18,5,0,885,18,22,3,1,0,0,0,0,5
LK-2218195,310,3,0,0,270,15,19,0,0,0,1,0,0,2
LK-2218200,625,7,2,0,569,29,17,0,1,0,0,0,0,0
LK-2218205,360,1,2,0,264,91,0,0,0,0,0,0,2,0
LK-2218210,216,29,10,0,160,1,6,1,0,0,9,0,0,0
LK-2218215,340,29,10,3,268,14,9,0,3,0,0,0,4,0
LK-2218220,413,2,5,0,379,11,8,5,2,0,1,0,0,0
LK-2218225,362,4,0,0,341,3,6,0,0,0,4,0,0,4
LK-2218230,714,1,1,0,681,17,2,0,0,0,12,0,0,0
LK-2218235,349,2,0,0,323,22,2,0,0,0,0,0,0,0
LK-2218240,223,37,35,3,31,15,0,73,0,0,29,0,0,0
LK-2218245,258,44,18,2,145,25,22,0,2,0,0,0,0,0
LK-2218250,262,21,7,0,222,7,2,1,2,0,0,0,0,0
LK-2218255,217,6,1,0,185,24,0,0,1,0,0,0,0,0
LK-2218260,410,12,13,1,202,165,14,0,2,0,0,0,0,1
LK-2221,4502,369,870,221,308,764,199,580,103,0,1056,4,0,28
LK-2221005,236,14,11,5,6,1,0,18,1,0,180,0,0,0
LK-2221010,412,6,2,0,2,5,1,34,0,0,362,0,0,0
LK-2221015,167,2,3,9,0,26,0,0,0,0,126,1,0,0
LK-2221020,255,19,8,18,2,1,61,103,0,0,40,3,0,0
LK-2221025,167,23,39,19,0,0,0,39,0,0,47,0,0,0
LK-2221030,154,28,65,9,8,0,1,24,0,0,19,0,0,0
LK-2221035,212,4,39,25,18,1,2,46,8,0,69,0,0,0
LK-2221040,69,2,9,2,3,28,2,4,2,0,17,0,0,0
LK-2221045,172,23,85,27,5,14,1,8,8,0,1,0,0,0
LK-2221050,133,11,26,6,12,6,4,58,0,0,1,0,0,9
LK-2221055,235,30,51,5,70,63,14,2,0,0,0,0,0,0
LK-2221060,483,9,23,33,53,233,41,69,0,0,22,0,0,0
LK-2221065,312,5,9,7,4,218,21,21,0,0,26,0,0,1
LK-2221070,121,14,75,20,1,3,0,0,0,0,8,0,0,0
LK-2221075,170,7,41,8,4,5,4,94,0,0,5,0,0,2
LK-2221080,358,1,27,0,117,138,44,0,0,0,16,0,0,15
LK-2221085,318,54,135,10,1,1,1,41,23,0,51,0,0,1
LK-2221090,192,17,46,12,0,19,0,0,34,0,64,0,0,0
LK-2221095,159,77,75,5,1,0,0,1,0,0,0,0,0,0
LK-2221100,177,23,101,1,1,2,2,18,27,0,2,0,0,0
LK-2224,3501,633,650,178,64,147,49,887,183,11,698,0,0,1
LK-2224005,106,41,9,8,0,0,0,0,46,0,2,0,0,0
LK-2224010,208,41,19,4,0,0,0,129,15,0,0,0,0,0
LK-2224015,155,63,19,18,0,1,0,46,8,0,0,0,0,0
LK-2224020,195,78,23,3,0,1,3,69,9,0,9,0,0,0
LK-2224025,115,43,46,4,0,0,0,15,0,0,7,0,0,0
LK-2224030,115,25,47,15,0,0,0,0,0,0,27,0,0,1
LK-2224035,169,63,30,0,0,0,1,46,29,0,0,0,0,0
LK-2224040,248,68,115,33,0,0,0,18,14,0,0,0,0,0
LK-2224045,160,49,46,7,0,0,0,54,4,0,0,0,0,0
LK-2224050,104,16,34,6,0,1,0,18,18,11,0,0,0,0
LK-2224055,148,27,57,6,0,1,0,47,2,0,8,0,0,0
LK-2224060,19,1,16,0,0,0,0,0,0,0,2,0,0,0
LK-2224065,24,0,0,0,0,0,0,24,0,0,0,0,0,0
LK-2224070,112,0,8,2,20,49,11,2,0,0,20,0,0,0
LK-2224075,58,1,0,0,0,0,0,56,0,0,1,0,0,0
LK-2224080,57,4,2,0,0,0,0,43,0,0,8,0,0,0
LK-2224085,46,6,5,0,0,0,0,26,1,0,8,0,0,0
LK-2224090,52,6,10,0,0,0,0,30,0,0,6,0,0,0
LK-2224095,53,0,4,0,0,0,0,39,0,0,10,0,0,0
LK-2224100,22,1,4,0,0,0,0,5,0,0,12,0,0,0
LK-2224105,146,5,61,0,0,9,7,0,26,0,38,0,0,0
LK-2224110,57,9,19,0,2,19,3,0,0,0,5,0,0,0
LK-2224115,122,35,23,0,17,23,10,0,11,0,3,0,0,0
LK-2224120,102,19,15,0,6,2,0,0,0,0,60,0,0,0
LK-2224125,56,0,0,0,19,37,0,0,0,0,0,0,0,0
LK-2224130,22,3,1,2,0,1,3,0,0,0,12,0,0,0
LK-2224135,95,8,2,21,0,0,0,55,0,0,9,0,0,0
LK-2224140,82,3,0,10,0,0,0,0,0,0,69,0,0,0
LK-2224145,122,8,10,12,0,0,0,45,0,0,47,0,0,0
LK-2224150,58,2,13,20,0,0,0,20,0,0,3,0,0,0
LK-2224155,40,0,0,0,0,0,0,0,0,0,40,0,0,0
LK-2224160,42,0,0,1,0,0,7,27,0,0,7,0,0,0
LK-2224165,55,0,0,0,0,0,0,31,0,0,24,0,0,0
LK-2224170,42,1,1,0,0,0,0,0,0,0,40,0,0,0
LK-2224175,130,7,9,6,0,3,0,18,0,0,87,0,0,0
LK-2224180,94,0,2,0,0,0,4,20,0,0,68,0,0,0
LK-2224185,70,0,0,0,0,0,0,4,0,0,66,0,0,0
LK-2227,8220,2843,2600,571,168,240,201,1253,97,2,214,1,5,25
LK-2227005,74,23,41,4,0,0,0,0,5,0,1,0,0,0
LK-2227010,215,84,77,6,0,0,1,37,10,0,0,0,0,0
LK-2227015,170,103,48,18,0,1,0,0,0,0,0,0,0,0
LK-2227020,166,107,34,13,11,0,0,0,1,0,0,0,0,0
LK-2227025,137,70,28,38,0,1,0,0,0,0,0,0,0,0
LK-2227030,107,28,4,39,8,23,5,0,0,0,0,0,0,0
LK-2227035,212,48,3,13,0,0,0,148,0,0,0,0,0,0
LK-2227040,195,56,9,0,0,0,0,126,2,0,0,0,2,0
LK-2227045,202,90,82,8,1,1,0,7,12,0,0,0,1,0
LK-2227050,112,18,12,7,0,1,0,71,3,0,0,0,0,0
LK-2227055,190,66,95,29,0,0,0,0,0,0,0,0,0,0
LK-2227060,249,84,162,2,1,0,0,0,0,0,0,0,0,0
LK-2227065,285,108,153,24,0,0,0,0,0,0,0,0,0,0
LK-2227070,242,134,79,28,1,0,0,0,0,0,0,0,0,0
LK-2227075,229,114,104,3,0,2,0,0,6,0,0,0,0,0
LK-2227080,196,100,76,4,0,0,0,0,0,0,16,0,0,0
LK-2227085,185,102,47,6,0,1,0,0,0,0,29,0,0,0
LK-2227090,247,129,102,9,0,0,0,0,7,0,0,0,0,0
LK-2227095,79,26,32,9,0,0,0,0,12,0,0,0,0,0
LK-2227100,233,57,127,38,0,4,0,0,3,0,3,1,0,0
LK-2227105,66,17,40,3,1,0,1,0,0,0,4,0,0,0
LK-2227110,518,93,133,21,63,58,137,7,1,0,2,0,2,1
LK-2227115,253,19,10,11,2,5,0,200,3,0,0,0,0,3
LK-2227120,233,100,69,10,0,2,1,47,4,0,0,0,0,0
LK-2227125,101,38,44,15,0,0,0,0,4,0,0,0,0,0
LK-2227130,167,75,61,17,0,0,0,0,0,0,14,0,0,0
LK-2227135,315,116,131,39,1,0,15,3,10,0,0,0,0,0
LK-2227140,225,98,91,15,0,1,0,0,0,0,0,0,0,20
LK-2227145,107,66,33,6,1,1,0,0,0,0,0,0,0,0
LK-2227150,286,124,133,22,0,0,0,7,0,0,0,0,0,0
LK-2227155,404,95,43,13,15,10,11,216,1,0,0,0,0,0
LK-2227160,221,14,9,20,55,89,19,0,11,2,1,0,0,1
LK-2227165,139,53,48,2,6,9,1,17,0,0,3,0,0,0
LK-2227170,382,72,45,8,0,16,8,233,0,0,0,0,0,0
LK-2227175,299,75,59,16,1,12,1,134,1,0,0,0,0,0
LK-2227180,283,102,155,25,1,0,0,0,0,0,0,0,0,0
LK-2227185,255,93,76,14,0,0,1,0,1,0,70,0,0,0
LK-2227190,188,36,94,6,0,2,0,0,0,0,50,0,0,0
LK-2227195,53,10,11,10,0,1,0,0,0,0,21,0,0,0
LK-2230,14310,1174,1579,626,2193,1433,593,4786,323,0,1495,1,1,106
LK-2230005,211,21,11,2,57,0,7,39,2,0,71,0,1,0
LK-2230010,211,30,43,6,5,17,6,90,14,0,0,0,0,0
LK-2230015,349,26,73,0,67,43,3,131,0,0,3,0,0,3
LK-2230020,364,51,17,3,106,45,9,88,2,0,41,0,0,2
LK-2230025,298,24,30,4,3,11,11,164,43,0,7,0,0,1
LK-2230030,362,11,9,12,246,42,40,1,0,0,1,0,0,0
LK-2230035,447,1,9,1,272,143,18,3,0,0,0,0,0,0
LK-2230040,206,3,5,1,121,62,5,0,1,0,8,0,0,0
LK-2230045,232,17,29,37,43,36,10,27,0,0,33,0,0,0
LK-2230050,209,8,16,33,8,44,13,34,0,0,53,0,0,0
LK-2230055,214,6,18,27,29,108,19,6,0,0,1,0,0,0
LK-2230060,298,2,3,5,56,83,8,5,0,0,100,0,0,36
LK-2230065,226,0,0,0,3,3,0,219,0,0,1,0,0,0
LK-2230070,247,23,85,29,0,2,4,36,1,0,67,0,0,0
LK-2230075,246,4,21,19,0,1,0,196,0,0,5,0,0,0
LK-2230080,161,1,5,21,2,2,5,82,1,0,37,0,0,5
LK-2230085,274,10,18,16,20,8,5,182,0,0,10,0,0,5
LK-2230090,463,20,13,5,114,37,8,204,5,0,53,0,0,4
LK-2230095,239,20,26,3,3,5,6,164,11,0,0,0,0,1
LK-2230100,338,65,31,2,181,23,5,28,2,0,1,0,0,0
LK-2230105,235,22,12,5,1,0,1,180,12,0,2,0,0,0
LK-2230110,252,132,38,2,45,4,1,29,0,0,0,0,0,1
LK-2230115,690,36,44,3,286,94,17,188,5,0,6,0,0,11
LK-2230120,304,30,20,0,7,2,2,177,65,0,0,0,0,1
LK-2230125,231,56,105,13,1,2,5,19,4,0,26,0,0,0
LK-2230130,165,74,59,5,1,0,2,19,0,0,1,0,0,4
LK-2230135,151,18,43,18,1,0,1,68,2,0,0,0,0,0
LK-2230140,228,16,7,4,53,0,7,141,0,0,0,0,0,0
LK-2230145,366,47,58,18,1,60,15,137,0,0,23,0,0,7
LK-2230150,232,3,6,5,8,76,6,126,0,0,2,0,0,0
LK-2230155,190,4,1,2,0,1,24,153,0,0,5,0,0,0
LK-2230160,318,7,14,2,23,94,18,92,0,0,66,0,0,2
LK-2230165,173,13,8,5,17,1,9,0,0,0,119,1,0,0
LK-2230170,220,0,0,21,0,0,0,58,0,0,141,0,0,0
LK-2230175,139,2,12,26,0,1,0,97,0,0,0,0,0,1
LK-2230180,142,20,78,2,0,0,0,22,1,0,19,0,0,0
LK-2230185,191,24,26,4,1,0,1,116,2,0,17,0,0,0
LK-2230190,199,15,19,1,0,6,6,151,1,0,0,0,0,0
LK-2230195,256,23,46,18,32,48,39,24,2,0,18,0,0,6
LK-2230200,412,36,51,0,121,37,26,35,95,0,10,0,0,1
LK-2230205,285,23,35,78,10,36,15,78,10,0,0,0,0,0
LK-2230210,241,12,26,11,0,1,7,174,0,0,7,0,0,3
LK-2230215,140,14,53,26,0,2,3,18,0,0,24,0,0,0
LK-2230220,244,53,81,10,1,2,15,10,1,0,67,0,0,4
LK-2230225,405,9,7,1,80,22,31,237,0,0,10,0,0,8
LK-2230230,251,0,0,0,0,0,1,250,0,0,0,0,0,0
LK-2230235,268,10,22,5,31,27,6,143,0,0,24,0,0,0
LK-2230240,343,25,20,37,39,113,33,56,0,0,20,0,0,0
LK-2230245,346,18,12,25,9,13,16,195,0,0,58,0,0,0
LK-2230250,123,1,1,0,72,36,5,0,7,0,1,0,0,0
LK-2230255,134,30,23,4,0,0,0,65,6,0,6,0,0,0
LK-2230260,265,31,82,41,2,14,32,8,28,0,27,0,0,0
LK-2230265,192,14,74,0,14,20,36,21,0,0,13,0,0,0
LK-2230270,384,13,34,8,1,6,31,0,0,0,291,0,0,0
LK-2233,17347,1852,1583,348,7330,2308,843,1690,260,8,1010,4,1,110
LK-2233005,138,0,2,4,0,0,1,20,0,0,110,0,0,1
LK-2233010,58,4,14,1,1,19,19,0,0,0,0,0,0,0
LK-2233015,175,44,48,60,0,0,0,0,13,0,9,0,0,1
LK-2233020,117,31,52,20,0,0,0,0,14,0,0,0,0,0
LK-2233025,57,5,29,7,0,9,4,0,0,0,3,0,0,0
LK-2233030,108,7,11,7,0,7,11,55,0,0,8,0,0,2
LK-2233035,93,45,12,14,1,3,5,4,0,0,9,0,0,0
LK-2233040,130,36,25,6,0,0,9,0,6,0,48,0,0,0
LK-2233045,111,10,40,13,2,14,21,0,3,0,0,0,0,8
LK-2233050,115,44,44,0,20,0,0,6,0,1,0,0,0,0
LK-2233055,144,52,71,3,0,0,0,0,0,0,0,0,0,18
LK-2233060,191,11,33,2,53,20,20,47,1,0,4,0,0,0
LK-2233065,90,23,34,3,2,0,0,0,0,0,28,0,0,0
LK-2233070,180,20,5,0,98,43,13,0,0,0,1,0,0,0
LK-2233075,123,0,1,1,77,26,16,0,0,0,0,0,0,2
LK-2233080,126,43,31,3,9,8,7,2,0,0,23,0,0,0
LK-2233085,190,44,110,34,1,0,0,0,0,0,0,0,0,1
LK-2233090,155,46,29,14,12,13,5,0,0,0,36,0,0,0
LK-2233095,210,45,44,8,9,36,1,0,17,0,48,2,0,0
LK-2233100,254,10,16,1,184,40,1,2,0,0,0,0,0,0
LK-2233105,401,14,4,0,244,101,12,23,2,0,1,0,0,0
LK-2233110,485,6,5,1,283,111,56,14,0,3,3,0,0,3
LK-2233115,398,33,12,11,272,47,18,0,5,0,0,0,0,0
LK-2233120,132,15,74,0,16,25,2,0,0,0,0,0,0,0
LK-2233125,166,36,106,5,2,1,9,4,0,1,2,0,0,0
LK-2233130,134,11,20,2,9,2,3,83,0,0,4,0,0,0
LK-2233135,244,7,1,0,132,64,39,0,0,0,1,0,0,0
LK-2233140,419,69,11,0,269,28,6,9,9,0,18,0,0,0
LK-2233145,368,53,15,1,190,84,21,0,0,0,0,0,0,4
LK-2233150,503,77,21,3,344,38,10,0,10,0,0,0,0,0
LK-2233155,229,63,13,0,92,42,6,0,12,1,0,0,0,0
LK-2233160,307,166,26,1,77,19,4,2,3,0,0,0,0,9
LK-2233165,260,27,89,2,3,47,5,50,5,0,30,0,1,1
LK-2233170,383,7,13,0,226,111,22,0,0,0,4,0,0,0
LK-2233175,335,18,4,0,268,13,0,5,16,0,0,0,0,11
LK-2233180,480,8,2,0,307,10,7,138,3,0,0,0,0,5
LK-2233185,477,62,32,4,233,35,35,71,3,1,0,1,0,0
LK-2233190,397,78,16,0,231,12,10,24,3,0,23,0,0,0
LK-2233195,282,33,9,0,214,3,5,0,1,0,17,0,0,0
LK-2233200,559,56,11,2,443,32,13,1,0,0,0,0,0,1
LK-2233205,240,26,15,2,189,2,2,1,1,0,0,0,0,2
LK-2233210,287,99,73,7,51,25,6,2,0,0,24,0,0,0
LK-2233215,158,11,8,0,17,21,0,82,0,0,17,0,0,2
LK-2233220,241,65,36,26,90,12,0,0,1,0,10,0,0,1
LK-2233225,471,17,4,0,384,40,14,0,2,1,3,0,0,6
LK-2233230,448,21,15,0,287,74,31,19,1,0,0,0,0,0
LK-2233235,203,3,13,0,83,54,8,0,41,0,1,0,0,0
LK-2233240,219,12,22,2,40,0,0,0,18,0,124,1,0,0
LK-2233245,166,3,0,0,1,0,6,149,3,0,2,0,0,2
LK-2233250,381,5,4,0,32,178,28,109,1,0,24,0,0,0
LK-2233255,269,20,4,0,59,104,37,11,1,0,33,0,0,0
LK-2233260,137,7,0,1,12,6,2,93,0,0,16,0,0,0
LK-2233265,114,0,3,0,37,52,10,11,0,0,1,0,0,0
LK-2233270,182,3,2,0,23,2,2,149,0,0,1,0,0,0
LK-2233275,155,1,8,4,26,56,51,0,0,0,9,0,0,0
LK-2233280,118,2,17,0,14,14,1,37,13,0,20,0,0,0
LK-2233285,375,1,1,0,334,19,10,1,7,0,1,0,0,1
LK-2233290,235,2,4,0,143,73,7,0,0,0,0,0,0,6
LK-2233295,505,8,0,0,407,58,31,0,1,0,0,0,0,0
LK-2233300,159,10,34,15,16,43,3,34,3,0,1,0,0,0
LK-2233305,176,43,42,3,3,0,0,0,35,0,50,0,0,0
LK-2233310,229,61,57,11,76,19,3,0,2,0,0,0,0,0
LK-2233315,131,11,4,19,0,0,0,16,0,0,81,0,0,0
LK-2233320,234,24,37,1,55,15,7,13,2,0,79,0,0,1
LK-2233325,302,1,3,0,237,43,17,0,0,0,1,0,0,0
LK-2233330,289,14,1,3,102,2,6,150,2,0,9,0,0,0
LK-2233335,184,8,15,1,59,48,11,27,0,0,6,0,0,9
LK-2233340,169,0,2,2,82,53,15,1,0,0,14,0,0,0
LK-2233345,159,1,4,1,76,15,7,47,0,0,8,0,0,0
LK-2233350,317,1,0,0,27,174,88,15,0,0,12,0,0,0
LK-2233355,110,2,3,2,4,8,6,57,0,0,21,0,0,7
LK-2233360,143,1,1,3,0,19,16,101,0,0,0,0,0,2
LK-2233365,117,10,16,12,40,16,2,5,0,0,12,0,0,4
LK-23,181182,9149,10157,6899,19002,22837,11826,38262,1169,66,60177,103,17,1518
LK-2303,25887,1717,1712,1302,1731,4130,2463,4445,92,5,8067,12,2,209
LK-2303005,135,59,31,5,0,1,2,33,0,0,4,0,0,0
LK-2303010,174,30,24,17,11,22,26,34,0,0,10,0,0,0
LK-2303015,389,10,18,138,46,15,27,54,0,0,81,0,0,0
LK-2303020,183,36,40,13,4,23,22,5,0,0,39,1,0,0
LK-2303025,291,17,38,75,9,9,2,7,0,0,134,0,0,0
LK-2303030,271,3,6,88,69,50,4,8,0,1,14,0,0,28
LK-2303035,139,2,2,8,14,49,56,3,0,0,5,0,0,0
LK-2303040,264,9,0,4,9,26,35,178,1,0,0,0,0,2
LK-2303045,338,3,1,0,0,0,4,172,0,0,148,1,0,9
LK-2303050,435,8,5,45,4,34,89,249,0,0,1,0,0,0
LK-2303055,830,1,8,1,55,293,153,3,0,0,316,0,0,0
LK-2303060,420,1,0,3,1,2,1,70,0,0,342,0,0,0
LK-2303065,740,0,0,0,0,0,1,1,0,0,738,0,0,0
LK-2303070,516,5,10,1,2,88,56,148,0,0,205,1,0,0
LK-2303075,400,19,67,30,97,131,32,24,0,0,0,0,0,0
LK-2303080,271,18,7,11,76,74,37,9,0,0,39,0,0,0
LK-2303085,242,41,9,4,3,6,3,176,0,0,0,0,0,0
LK-2303090,219,22,26,5,5,52,46,62,1,0,0,0,0,0
LK-2303095,282,19,11,8,12,47,51,123,0,0,1,0,0,10
LK-2303100,294,11,8,7,12,83,74,13,6,0,80,0,0,0
LK-2303105,122,11,4,0,0,11,1,81,0,0,14,0,0,0
LK-2303110,219,20,3,7,2,4,3,114,0,0,57,0,0,9
LK-2303115,88,2,0,3,0,0,1,0,0,0,82,0,0,0
LK-2303120,92,2,3,4,14,21,17,0,0,0,31,0,0,0
LK-2303125,147,7,5,2,23,12,21,65,0,0,11,0,0,1
LK-2303130,257,14,39,13,0,1,37,40,1,0,76,0,0,36
LK-2303135,389,93,108,41,46,25,31,18,2,0,10,1,0,14
LK-2303140,420,149,77,16,79,11,12,63,0,0,5,0,0,8
LK-2303145,289,38,10,42,56,16,119,1,0,0,6,0,0,1
LK-2303150,430,174,45,16,94,6,27,39,5,1,21,1,0,1
LK-2303155,388,24,16,18,41,11,6,7,0,0,262,0,0,3
LK-2303160,101,36,58,0,0,0,0,0,0,0,7,0,0,0
LK-2303165,315,36,63,17,42,23,8,51,0,1,74,0,0,0
LK-2303170,213,59,46,1,2,46,21,8,3,0,27,0,0,0
LK-2303175,155,1,11,35,1,1,83,23,0,0,0,0,0,0
LK-2303180,258,13,17,161,0,0,1,48,0,0,17,0,0,1
LK-2303185,222,29,27,6,45,27,25,60,0,0,1,1,0,1
LK-2303190,83,1,0,19,0,0,0,13,0,0,50,0,0,0
LK-2303195,86,2,9,1,0,0,0,0,1,0,53,0,0,20
LK-2303200,20,2,4,0,3,5,3,3,0,0,0,0,0,0
LK-2303205,108,4,6,10,0,0,6,58,0,0,21,0,0,3
LK-2303210,103,3,30,35,1,5,27,0,0,0,0,0,0,2
LK-2303215,161,10,14,4,22,54,43,2,2,0,10,0,0,0
LK-2303220,126,0,16,15,0,1,18,73,0,0,0,0,0,3
LK-2303225,108,12,23,5,0,1,1,64,0,0,2,0,0,0
LK-2303230,248,31,5,0,14,15,3,26,0,0,152,1,0,1
LK-2303235,169,2,13,0,26,84,9,24,0,0,11,0,0,0
LK-2303240,167,1,3,6,0,1,35,51,0,0,68,0,0,2
LK-2303245,599,0,0,0,25,8,0,25,2,0,538,0,0,1
LK-2303250,622,16,53,67,42,186,29,103,1,0,125,0,0,0
LK-2303255,272,17,1,5,12,21,8,46,1,0,160,1,0,0
LK-2303260,124,1,0,1,0,0,0,55,44,0,23,0,0,0
LK-2303265,165,12,38,17,1,26,38,8,1,0,21,1,0,2
LK-2303270,106,9,13,3,0,6,2,61,0,0,12,0,0,0
LK-2303275,104,9,7,0,21,1,42,0,0,0,24,0,0,0
LK-2303280,146,36,35,8,9,16,23,19,0,0,0,0,0,0
LK-2303285,160,11,5,0,14,79,37,8,0,0,6,0,0,0
LK-2303290,142,3,0,1,2,2,3,30,0,0,101,0,0,0
LK-2303295,296,1,3,17,2,136,117,9,0,0,1,0,0,10
LK-2303300,175,10,9,2,30,71,22,21,0,0,1,0,0,9
LK-2303305,363,5,3,3,1,5,7,63,1,0,275,0,0,0
LK-2303310,790,27,20,1,32,67,22,84,6,0,530,1,0,0
LK-2303315,84,3,2,3,12,38,9,12,0,0,3,0,0,2
LK-2303320,126,2,24,1,8,10,6,4,0,0,68,0,0,3
LK-2303325,137,19,68,17,1,0,0,0,0,0,32,0,0,0
LK-2303330,78,4,6,17,0,0,0,51,0,0,0,0,0,0
LK-2303335,155,18,47,2,0,14,26,14,0,0,34,0,0,0
LK-2303340,125,11,17,5,14,48,17,13,0,0,0,0,0,0
LK-2303345,173,15,4,3,5,19,2,27,0,0,98,0,0,0
LK-2303350,205,32,18,3,9,74,35,24,1,0,9,0,0,0
LK-2303355,147,51,4,2,0,0,1,0,0,0,89,0,0,0
LK-2303360,165,6,6,1,0,1,0,103,0,0,48,0,0,0
LK-2303365,86,5,4,3,1,9,0,5,0,0,59,0,0,0
LK-2303370,332,0,0,0,4,0,0,222,0,0,106,0,0,0
LK-2303375,738,2,5,8,90,482,45,34,0,0,72,0,0,0
LK-2303380,250,9,4,0,9,24,81,0,1,1,119,0,0,2
LK-2303385,150,9,3,10,2,30,5,12,0,0,77,0,1,1
LK-2303390,190,0,0,0,1,0,1,170,0,0,18,0,0,0
LK-2303395,928,1,0,0,34,410,73,172,1,0,237,0,0,0
LK-2303400,687,1,0,0,15,58,2,24,0,1,585,1,0,0
LK-2303405,301,49,54,10,3,132,4,44,0,0,4,0,0,1
LK-2303410,772,47,16,9,277,74,158,14,2,0,171,0,0,4
LK-2303415,121,25,11,7,30,14,0,22,0,0,12,0,0,0
LK-2303420,541,13,23,16,4,76,5,226,4,0,164,0,0,10
LK-2303425,134,12,60,32,0,8,10,0,0,0,12,0,0,0
LK-2303430,113,3,6,14,0,0,19,0,0,0,71,0,0,0
LK-2303435,181,20,30,7,3,12,25,26,0,0,57,1,0,0
LK-2303440,231,12,32,5,5,42,11,56,2,0,66,0,0,0
LK-2303445,141,45,20,0,2,7,66,0,0,0,1,0,0,0
LK-2303450,131,18,21,14,0,9,57,12,0,0,0,0,0,0
LK-2303455,366,2,2,1,30,106,69,70,0,0,79,0,0,7
LK-2303460,431,0,0,0,6,4,0,0,0,0,419,0,0,2
LK-2303465,69,1,0,5,0,0,0,63,0,0,0,0,0,0
LK-2303470,155,20,22,16,0,0,0,1,0,0,96,0,0,0
LK-2303475,377,13,50,22,25,104,3,48,0,0,112,0,0,0
LK-2303480,686,2,0,4,10,315,104,140,3,0,107,0,1,0
LK-2306,24250,1950,3848,1191,1843,1886,1021,5353,220,25,6861,16,0,36
LK-2306005,121,8,107,5,0,1,0,0,0,0,0,0,0,0
LK-2306010,160,7,105,48,0,0,0,0,0,0,0,0,0,0
LK-2306015,236,50,108,16,9,23,1,0,10,18,1,0,0,0
LK-2306020,275,32,129,84,0,0,0,0,28,1,1,0,0,0
LK-2306025,353,96,201,22,0,0,0,9,24,1,0,0,0,0
LK-2306030,172,54,115,0,2,0,1,0,0,0,0,0,0,0
LK-2306035,192,24,114,19,0,0,0,0,35,0,0,0,0,0
LK-2306040,50,10,22,5,0,0,0,0,0,0,13,0,0,0
LK-2306045,95,29,52,0,0,0,0,14,0,0,0,0,0,0
LK-2306050,53,5,45,3,0,0,0,0,0,0,0,0,0,0
LK-2306055,225,2,25,0,40,64,6,71,0,0,17,0,0,0
LK-2306060,212,14,7,0,101,85,2,0,0,0,3,0,0,0
LK-2306065,182,6,7,0,95,5,0,67,0,0,2,0,0,0
LK-2306070,266,26,51,36,23,27,20,74,1,0,8,0,0,0
LK-2306075,118,17,56,7,0,0,0,2,0,0,33,0,0,3
LK-2306080,156,40,73,1,0,8,10,0,24,0,0,0,0,0
LK-2306085,146,44,92,10,0,0,0,0,0,0,0,0,0,0
LK-2306090,219,3,2,14,1,44,5,98,0,0,52,0,0,0
LK-2306095,110,6,2,1,0,1,0,0,1,0,99,0,0,0
LK-2306100,209,42,88,71,0,0,0,0,0,0,8,0,0,0
LK-2306105,97,0,0,0,0,0,0,97,0,0,0,0,0,0
LK-2306110,125,1,3,3,3,29,2,76,0,0,8,0,0,0
LK-2306115,143,31,44,53,0,0,0,4,0,0,11,0,0,0
LK-2306120,144,16,5,9,0,1,2,46,0,0,65,0,0,0
LK-2306125,173,2,34,7,1,2,5,97,0,0,25,0,0,0
LK-2306130,234,30,50,21,0,9,32,88,0,0,4,0,0,0
LK-2306135,111,3,2,0,72,27,3,4,0,0,0,0,0,0
LK-2306140,208,15,35,1,72,42,7,34,0,0,2,0,0,0
LK-2306145,149,1,5,1,74,60,3,1,0,0,4,0,0,0
LK-2306150,189,2,1,0,65,102,1,0,0,0,18,0,0,0
LK-2306155,197,57,84,1,1,2,0,24,0,0,28,0,0,0
LK-2306160,186,55,98,0,0,1,15,17,0,0,0,0,0,0
LK-2306165,280,7,60,14,0,8,65,35,2,0,89,0,0,0
LK-2306170,220,13,139,43,0,1,5,1,0,0,18,0,0,0
LK-2306175,178,8,16,2,7,3,0,125,0,0,17,0,0,0
LK-2306180,178,26,30,10,4,27,16,64,1,0,0,0,0,0
LK-2306185,160,24,45,0,19,17,29,16,0,0,6,0,0,4
LK-2306190,168,16,14,1,120,9,2,6,0,0,0,0,0,0
LK-2306195,198,49,34,3,33,1,1,4,0,0,73,0,0,0
LK-2306200,211,71,59,47,2,1,4,4,0,0,23,0,0,0
LK-2306205,201,52,12,18,1,0,0,105,0,0,13,0,0,0
LK-2306210,162,4,12,3,0,0,0,105,0,0,38,0,0,0
LK-2306215,124,0,0,10,0,0,0,1,0,0,113,0,0,0
LK-2306220,223,10,10,16,0,4,14,106,0,0,63,0,0,0
LK-2306225,392,129,58,44,17,27,14,32,0,1,70,0,0,0
LK-2306230,128,27,33,3,13,15,0,20,0,0,17,0,0,0
LK-2306235,192,2,42,80,16,6,0,11,35,0,0,0,0,0
LK-2306240,152,16,35,19,6,2,4,41,0,0,22,7,0,0
LK-2306245,199,12,41,28,0,0,0,60,0,0,58,0,0,0
LK-2306250,131,1,4,0,1,4,15,60,0,0,46,0,0,0
LK-2306255,171,11,21,19,17,13,3,87,0,0,0,0,0,0
